Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,Validated_in_Post2015,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
toxin composition,sxtA,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,12,24.0,2.7917,5546,47,118,119.0,191.0,2.0,71.3133,biosynthesis; cellular toxin content; evolution; nitrogen; nitrogen limitation; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; saxitoxin-producing dinoflagellates; toxin content; toxin production; toxin profile,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,93.8133,Gene-toxin biology,True,True,True,False,0,0.7295837838782941,0.5180440642409491,0.7902375425437204,0.6405311294771963
temperature,sxtA4,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,12,16.0,2.8045,5225,95,55,178.0,66.0,3.0,66.7339,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; biosynthesis; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,18.0,84.7339,Environmental driver,True,True,False,False,1,0.7865068093044227,0.4635614314277553,0.8521740517466055,0.6384371105712379
nitrogen,involved in stx biosynthesis,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.3565,3600,80,45,121.0,51.0,2.5,63.213,Alexandrium fundyense; Alexandrium tamarense; Saxitoxin; biosynthesis; conservation; evolution; gene cluster; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG; toxic algae,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,85.713,Environmental driver,True,True,True,False,1,0.7560646122514549,0.46943670355888706,0.819050664438704,0.6267629859548047
sxtA,divergence,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,11,11.0,2.7377,2006,118,17,191.0,17.0,3.5,46.5055,biosynthesis; conservation; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,69.0055,Evolutionary mechanism,True,True,True,False,1,0.8547766596797897,0.3691802342187946,0.9264567551763604,0.6199546686496993
saxitoxin synthesis,STX biosynthesis,PHRASE_TOXIN_PHENOTYPE,BIOLOGICAL_MECHANISM,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,20,25.0,5.0713,3132,58,54,77.0,68.0,1.5,79.8026,Alexandrium fundyense; Alexandrium tamarense; Gymnodinium catenatum; STX-producing; Saxitoxin; amidinotransferase; biosynthesis; biosynthesis of saxitoxin; conservation; evolution; gene cluster; genes involved; involved in stx; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; stx-producing dinoflagellates; sxtA; sxtG; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,100.3026,Mechanistic biology,True,False,True,False,0,0.6364794174875805,0.5569843190060942,0.6889330281996834,0.6163612381432094
sxtA,gene loss,GENE,GENE_PRESENCE_ABSENCE,GENE_PRESENCE_ABSENCE_HYPOTHESIS,11,11.0,2.7377,2006,118,17,191.0,17.0,3.5,46.5055,biosynthesis; conservation; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,69.0055,Gene presence/absence,True,True,True,False,1,0.8441525577247131,0.3691802342187946,0.9148969376229711,0.614752750750674
sxtA,growth and toxin production,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,9,13.0,2.1057,5428,118,46,191.0,73.0,3.5,59.3515,Alexandrium minutum; Alexandrium tamarense; Pyrodinium bahamense; cellular toxin; cellular toxin content; saxitoxin; toxin content; toxin production; toxin profile,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,79.8515,Gene-toxin biology,True,False,False,False,0,0.7679265475317225,0.4342636797649651,0.831957337233244,0.6132258256256907
biosynthesis,sxtB,BIOLOGICAL_MECHANISM,GENE,GENE_MECHANISM_HYPOTHESIS,17,17.0,4.379,3750,125,30,193.0,30.0,3.5,73.508,Alexandrium tamarense; Evolution; STX-producing; Saxitoxin; genes involved; homologs; involved in stx; saxitoxin; saxitoxin synthesis; secondary metabolites; stx genes; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg; toxic species; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,94.008,Mechanistic biology,True,False,True,False,1,0.6595737065204944,0.5192123978983195,0.7140613419973648,0.6068944227428898
horizontal gene,sxtA4,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,12,15.0,2.7549,2420,44,55,65.0,66.0,2.0,51.1098,Alexandrium fundyense; Alexandrium minutum; Gymnodinium catenatum; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; evolution; gene cluster; genes involved; saxitoxin; saxitoxin biosynthesis; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,70.1098,Mechanistic biology,True,False,True,False,1,0.8170826493415065,0.3758067922970388,0.8854428526170091,0.6051430194410254
gene transfer,sxtA4,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,12,15.0,2.7549,2420,44,55,65.0,66.0,2.0,51.1098,Alexandrium fundyense; Alexandrium minutum; Gymnodinium catenatum; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; evolution; gene cluster; genes involved; saxitoxin; saxitoxin biosynthesis; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,70.1098,Mechanistic biology,True,False,True,False,1,0.8163581310638334,0.3758067922970388,0.8846545225407906,0.6047882709067272
biosynthesis,saxitoxin-producing dinoflagellates,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,18,24.0,4.7008,3500,125,28,193.0,49.0,1.5,76.4017,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; GTX; Saxitoxin; differences in toxin; homologs; neurotoxin saxitoxin; nitrogen; nitrogen limitation; phosphorus; production of toxins; saxitoxin; saxitoxin synthesis; saxitoxin-producing dinoflagellate; sxtA; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,98.9017,Mechanistic biology,True,True,False,False,1,0.6207327348744249,0.5485779573183172,0.6717994597485423,0.6040276334119186
horizontal gene transfer,sxtA4,PHRASE_GENE_MECHANISM,GENE,GENE_MECHANISM_PHRASE_HYPOTHESIS,12,15.0,2.7549,2420,44,55,65.0,66.0,2.0,51.1098,Alexandrium fundyense; Alexandrium minutum; Gymnodinium catenatum; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; evolution; gene cluster; genes involved; saxitoxin; saxitoxin biosynthesis; sxtA,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,70.1098,Mechanistic biology,True,False,True,False,1,0.8117648576934975,0.3758067922970388,0.8796566975614706,0.6025392496660331
biosynthesis,toxin content and composition,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,12,15.0,3.1156,4875,125,39,193.0,89.0,1.5,63.6061,Alexandrium catenella; Alexandrium tamarense; Toxin content; down-regulated; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin derivatives; secondary metabolite; temperature; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,83.1061,Mechanistic biology,False,True,False,True,1,0.7205914914784557,0.45379351397799905,0.7804532558370975,0.6007903978145934
nitrate,saxitoxin derivatives,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,22,32.0,5.8378,3286,62,53,98.0,106.0,1.0,89.1057,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; GTX; gonyautoxin; neoSTX; nutrient levels; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; salinity; saxitoxin; temperature; toxicity of alexandrium; toxin composition; toxin content; toxin content and composition; toxin contents; toxin production; toxin profiles; toxin synthesis; toxin variability,ASSOCIATED_WITH;DECREASES;INCREASES;PRESENT_IN;REGULATES,15.0,104.1057,Environmental driver,False,True,False,False,0,0.5750747535124305,0.5798055297526037,0.6221201610527587,0.5988471138376734
biosynthesis,Homologs,BIOLOGICAL_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_MECHANISM_HYPOTHESIS,17,17.0,4.379,3750,125,30,193.0,30.0,1.5,71.508,Alexandrium tamarense; Evolution; STX-producing; Saxitoxin; genes involved; homologs; involved in stx; saxitoxin; saxitoxin synthesis; secondary metabolites; stx genes; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg; toxic species; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,92.008,Evolutionary mechanism,True,False,True,False,1,0.6558629545774617,0.5072110249412533,0.7100237663388551,0.5984767585701741
phylogeny,gene cluster,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,20,25.0,4.9331,3795,55,69,84.0,79.0,1.5,82.8413,Alexandrium tamarense; STX biosynthesis; biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; conservation; evolution; gene transfer; horizontal gene; horizontal gene transfer; involved in stx; involved in stx biosynthesis; saxitoxin; stx biosynthesis; sxtA; sxtA1; sxtG; toxin analogues; toxin content; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,103.3413,Evolutionary mechanism,True,False,True,False,0,0.577685339967687,0.5752186050084129,0.6249606743740465,0.597602536222948
phylogeny,sxtA4,EVOLUTIONARY_PROCESS,GENE,GENE_EVOLUTION_HYPOTHESIS,18,23.0,4.46,3025,55,55,84.0,66.0,3.5,75.0451,Alexandrium tamarense; Gymnodinium catenatum; STX biosynthesis; STX-producing; biosynthesis; biosynthesis of saxitoxin; clade; evolution; involved in stx; involved in stx biosynthesis; saxitoxin; saxitoxin biosynthesis; stx biosynthesis; sxtA; sxtA1; sxta gene; toxin content; toxin profile,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,95.5451,Evolutionary mechanism,True,False,True,False,1,0.6292751695172096,0.5284360530844728,0.6810942675685254,0.5971322496022966
saxitoxin biosynthesis,salinity,PHRASE_TOXIN_PHENOTYPE,ENV_FACTOR,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,12,16.0,2.9439,5440,80,68,112.0,120.0,2.5,67.5877,Alexandrium catenella; Alexandrium minutum; GTX; Pyrodinium bahamense; Toxin content; phosphate; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,87.0877,Environmental driver,False,True,False,False,1,0.6790243673480868,0.4776858472609266,0.7352251157836646,0.5935785180961588
sxtA4,Evolution,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,12,13.0,2.9614,2255,55,41,66.0,43.0,3.5,51.1979,Alexandrium tamarense; STX-producing; Saxitoxin; biosynthesis; evolution; genes involved; involved in stx; saxitoxin; saxitoxin biosynthesis; stx production; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,70.1979,Evolutionary mechanism,True,False,True,False,1,0.7821760680759696,0.37633545277579755,0.8474618813736605,0.5883423456448359
nitrogen,growth and toxin production,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,16,25.0,4.1594,3680,80,46,121.0,73.0,2.5,73.7188,Alexandrium minutum; Alexandrium tamarense; GTX; Toxin composition; cellular toxin; cellular toxin content; environmental conditions; nitrate; nitrate and phosphate; phosphate; psp toxins; saxitoxin; toxin composition; toxin content; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,93.2188,Environmental driver,False,True,False,False,0,0.6197512265360958,0.5144766561294611,0.6707315052648418,0.5847913382403824
sxtA,genes have,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,11,11.0,2.7377,2006,118,17,191.0,17.0,2.0,45.0055,biosynthesis; conservation; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,67.5055,Mechanistic biology,True,True,True,False,0,0.7919040738880088,0.3601792045009949,0.8580466793002043,0.5842195681606391
evolution,biosynthesis gene,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,17,19.0,4.1415,2911,71,41,101.0,43.0,3.0,69.338,Alexandrium minutum; biosynthesis; biosynthetic pathway; gene cluster; gene expression; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; phylogeny; saxitoxin; saxitoxin biosynthesis; sxtA; sxtA1; sxtG; toxin analogues; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,91.838,Evolutionary mechanism,True,True,True,True,0,0.6243973407980591,0.5061909082399025,0.6757868250864698,0.5825090708208578
Alexandrium minutum,STX biosynthesis,SPECIES,BIOLOGICAL_MECHANISM,SPECIES_MECHANISM_HYPOTHESIS,15,20.0,3.5576,3024,56,54,92.0,68.0,1.5,63.7352,Saxitoxin; biosynthesis; biosynthesis of saxitoxin; evolution; gene cluster; gene expression; genes involved; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; sxt gene; sxtA; sxtA1; sxtA4; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,84.23519999999999,Mechanistic biology,True,False,True,True,1,0.6743625639436845,0.46056888908091076,0.7301527250015987,0.5818816152452204
sxtA1,biosynthesis of saxitoxin,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,20,24.0,4.933,3283,67,49,81.0,61.0,3.5,81.7811,Alexandrium minutum; Gymnodinium catenatum; STX biosynthesis; amidinotransferase; biosynthesis; biosynthesis gene; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; paralytic shellfish toxins; phylogeny; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; stx biosynthesis; sxt gene; sxtA; sxtA4; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,100.7811,Gene-toxin biology,True,False,True,False,1,0.5619026644439975,0.5598556474860723,0.6077879429441663,0.5814251804422146
sxtA,saxitoxin derivatives,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,11,21.0,2.5885,6254,118,53,191.0,106.0,2.0,70.947,Alexandrium catenella; Alexandrium fundyense; Alexandrium tamarense; biosynthesis; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; toxin content; toxin production; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,91.447,Gene-toxin biology,True,False,False,False,0,0.6209960519086088,0.5038446398267962,0.6720859683764466,0.5795532376741389
sxtA4,biosynthesis gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,13,15.0,2.9883,2255,55,41,66.0,43.0,3.5,54.2517,Alexandrium minutum; biosynthesis; biosynthesis of saxitoxin; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; sxtA; sxtA1; toxin content,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,73.2517,Mechanistic biology,True,False,False,True,1,0.7415461126001033,0.39466034914394205,0.8032534509115525,0.5785272449393668
STX biosynthesis,Evolution,BIOLOGICAL_MECHANISM,EVOLUTIONARY_PROCESS,EVOLUTION_MECHANISM_HYPOTHESIS,13,14.0,3.1436,2214,54,41,68.0,43.0,3.0,53.3572,Alexandrium tamarense; STX-producing; Saxitoxin; biosynthesis; evolution; genes involved; involved in stx; saxitoxin; saxitoxin biosynthesis; stx-producing dinoflagellates; sxtA; sxtG; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,72.3572,Evolutionary mechanism,True,False,True,False,1,0.7437981128800861,0.38929273508889417,0.8057037956538057,0.5766777123431044
nitrate,sxtG,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,13,16.0,3.0968,4960,62,80,98.0,101.0,3.0,67.9935,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; cellular toxin; cellular toxin content; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; toxin content; toxin production; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,90.4935,Environmental driver,True,True,False,False,1,0.6201797598274075,0.49812298526951476,0.6711977815377976,0.576006643590242
sxtG,sxt gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,19,20.0,4.6605,3200,80,40,101.0,41.0,2.0,75.321,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; STX biosynthesis; STX-producing; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; paralytic shellfish toxins; saxitoxin; saxitoxin and its derivatives; stx biosynthesis; sxtA; sxtA1; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,94.321,Mechanistic biology,True,False,False,False,1,0.5914975871683952,0.5210906127661004,0.6399894324109744,0.5745950816062937
temperature,Saxitoxin,ENV_FACTOR,TOXIN,ENV_TOXIN_HYPOTHESIS,12,15.0,3.4391,8265,95,87,178.0,110.0,1.0,80.7031,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; Pyrodinium bahamense; biosynthesis; highly toxic; less toxic; nitrate; saxitoxin biosynthesis; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,19.5,100.2031,Environmental driver,False,True,False,False,1,0.5334131292951123,0.5563872507014802,0.5767891978366215,0.5655681269122939
phylogeny,sxta and sxtg,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,12,14.0,2.8601,2915,55,53,84.0,57.0,3.5,54.7952,Alexandrium tamarense; STX-producing; biosynthesis; biosynthesis gene; involved in stx; saxitoxin; stx-producing dinoflagellates; sxtA; sxtA1; sxtG; toxin content; toxin production,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,75.2952,Evolutionary mechanism,True,False,True,False,0,0.6949089459955111,0.40692275196282446,0.7525087254339794,0.5624364400248443
sxtA,Phylogenetic analysis,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,11,15.0,2.6922,3068,118,26,191.0,40.0,3.5,53.7244,biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; biosynthetic pathway; gene transfer; horizontal gene; horizontal gene transfer; phylogeny; saxitoxin; saxitoxin biosynthesis; toxin content,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,74.2244,Evolutionary mechanism,True,False,True,False,1,0.7002537235070058,0.4004972168816112,0.7583242431273891,0.5615193786922114
temperature,gene expression,ENV_FACTOR,REGULATION_EXPRESSION,ENV_REGULATION_HYPOTHESIS,13,13.0,3.0789,3990,95,42,178.0,42.0,2.5,61.1079,Alexandrium catenella; Alexandrium fundyense; Alexandrium minutum; biosynthesis; cellular toxin; cellular toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,18.0,79.1079,Environmental driver,False,True,False,True,1,0.6652637825195242,0.42980156929952784,0.7202525702717014,0.560504519737006
cellular toxin content,sxtA4,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,13,14.0,2.9616,2970,54,55,63.0,66.0,2.0,55.7732,Alexandrium minutum; Alexandrium tamarense; biosynthesis; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,16.0,71.7732,Gene-toxin biology,True,False,False,True,0,0.7091355031953499,0.3857883341854308,0.7679882837381438,0.5577783114841517
saxitoxin,sxtN,TOXIN,GENE,GENE_TOXIN_HYPOTHESIS,9,16.0,3.2872,3228,269,12,689.0,24.0,2.0,50.7144,Alexandrium tamarense; down-regulated; less toxic; paralytic shellfish poisoning toxin; poisoning toxin; secondary metabolite; shellfish poisoning toxin; toxin content; toxin content and composition,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,71.2144,Gene-toxin biology,True,False,False,True,1,0.7123398167565799,0.38243515058122646,0.7714748165583574,0.5575030002709354
temperature,psp toxin production,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,14,19.0,3.7316,3040,95,32,178.0,40.0,2.5,62.6633,Alexandrium minutum; Alexandrium tamarense; GTX; Toxin production; cellular toxin; environmental conditions; gonyautoxin; nitrate; phosphate; psp toxins; saxitoxin; toxicity of alexandrium; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN;REGULATES,19.5,82.16329999999999,Environmental driver,False,True,False,False,1,0.633639601824584,0.44813606676603795,0.6858430963552501,0.5551042300811835
sxtA,saxitoxin biosynthesis gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,10,10.0,2.4895,1888,118,16,191.0,16.0,3.5,42.9191,biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; biosynthetic pathway; gene transfer; horizontal gene; horizontal gene transfer; phylogeny; saxitoxin; saxitoxin biosynthesis,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,63.4191,Mechanistic biology,True,False,True,False,1,0.7572936386733689,0.335657999275117,0.8203879371103797,0.5537864713009852
sxtG,Gene expression,GENE,REGULATION_EXPRESSION,GENE_REGULATION_HYPOTHESIS,9,9.0,2.1776,1360,80,17,101.0,17.0,3.5,37.1552,Alexandrium fundyense; STX biosynthesis; biosynthesis; clade; evolution; gene expression; saxitoxin; saxitoxin biosynthesis; stx biosynthesis,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,56.1552,Gene regulation,True,False,True,True,1,0.8060803397377085,0.29206961276370014,0.8734715168538921,0.5537004696042865
sxtA4,sxta and sxtg,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,17,20.0,4.1852,2915,55,53,66.0,57.0,2.0,68.9454,Alexandrium minutum; Alexandrium tamarense; STX-producing; Saxitoxin; biosynthesis; gene cluster; gene expression; genes involved; involved in stx; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; stx production; sxtA; sxtA1; toxic species; toxin content,ASSOCIATED_WITH;INVOLVED_IN;PRESENT_IN;REGULATES,14.5,83.4454,Mechanistic biology,True,False,False,True,1,0.6219348707015375,0.45582954690016536,0.6731074734418007,0.5536046138439012
sxtG,divergence,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,11,11.0,2.7377,1360,80,17,101.0,17.0,3.5,43.2755,biosynthesis; conservation; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,64.2755,Evolutionary mechanism,True,True,True,False,1,0.7453525105194052,0.3407969871753328,0.807395096546053,0.5507661363921569
sxtG,gene loss,GENE,GENE_PRESENCE_ABSENCE,GENE_PRESENCE_ABSENCE_HYPOTHESIS,11,11.0,2.7377,1360,80,17,101.0,17.0,3.5,43.2755,biosynthesis; conservation; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; saxitoxin; saxitoxin synthesis; secondary metabolites,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,64.2755,Gene presence/absence,True,True,True,False,1,0.7453525105194052,0.3407969871753328,0.807395096546053,0.5507661363921569
